embeddings	embedding_dimention	activation_function	epochs	pca	accuracy	precision	recall	f1_score
word2vec	100	exponential	50	pca	0.795091	0.852874	0.869531	0.861122
word2vec	100	exponential	50	nopca	0.815068	0.861027	0.890625	0.875576
word2vec	100	exponential	100	pca	0.780822	0.865416	0.828906	0.846768
word2vec	100	exponential	100	nopca	0.725457	0.864175	0.740625	0.797644
word2vec	100	exponential	200	pca	0.801941	0.848394	0.887500	0.867507
word2vec	100	exponential	200	nopca	0.820205	0.858736	0.902344	0.880000
word2vec	100	exponential	300	pca	0.802511	0.830737	0.916406	0.871471
word2vec	100	exponential	300	nopca	0.797374	0.865613	0.855469	0.860511
word2vec	100	exponential	400	pca	0.804224	0.872713	0.857031	0.864801
word2vec	100	exponential	400	nopca	0.806507	0.858340	0.880469	0.869263
word2vec	100	exponential	500	pca	0.791096	0.882747	0.823438	0.852061
word2vec	100	exponential	500	nopca	0.801941	0.890377	0.831250	0.859798
word2vec	200	tanh	50	pca	0.801941	0.878345	0.846094	0.861918
word2vec	200	tanh	50	nopca	0.741438	0.867556	0.762500	0.811642
word2vec	200	tanh	100	pca	0.790525	0.858602	0.853906	0.856248
word2vec	200	tanh	100	nopca	0.805365	0.861989	0.873437	0.867676
word2vec	200	tanh	200	pca	0.799658	0.884838	0.834375	0.858866
word2vec	200	tanh	200	nopca	0.800799	0.880000	0.842187	0.860679
word2vec	200	tanh	300	pca	0.808219	0.855958	0.886719	0.871067
word2vec	200	tanh	300	nopca	0.833904	0.885425	0.887500	0.886461
word2vec	200	tanh	400	pca	0.803082	0.856598	0.877344	0.866847
word2vec	200	tanh	400	nopca	0.816781	0.884523	0.861719	0.872972
word2vec	200	tanh	500	pca	0.771119	0.849642	0.834375	0.841939
word2vec	200	tanh	500	nopca	0.764840	0.777494	0.950000	0.855134
word2vec	200	relu	50	pca	0.760274	0.830261	0.844531	0.837335
word2vec	200	relu	50	nopca	0.806507	0.867866	0.867188	0.867526
word2vec	200	relu	100	pca	0.779110	0.826628	0.882812	0.853797
word2vec	200	relu	100	nopca	0.776256	0.859223	0.829688	0.844197
word2vec	200	relu	200	pca	0.792237	0.856698	0.859375	0.858034
word2vec	200	relu	200	nopca	0.815068	0.869397	0.878906	0.874126
word2vec	200	relu	300	pca	0.773973	0.868948	0.813281	0.840194
word2vec	200	relu	300	nopca	0.823059	0.861401	0.903125	0.881770
word2vec	200	relu	400	pca	0.810502	0.864615	0.878125	0.871318
word2vec	200	relu	400	nopca	0.807078	0.879227	0.853125	0.865979
word2vec	200	relu	500	pca	0.765411	0.781960	0.941406	0.854307
word2vec	200	relu	500	nopca	0.801370	0.866929	0.860156	0.863529
word2vec	200	sigmoid	50	pca	0.796233	0.858029	0.864062	0.861035
word2vec	200	sigmoid	50	nopca	0.809361	0.837375	0.917188	0.875466
word2vec	200	sigmoid	100	pca	0.803082	0.880391	0.845313	0.862495
word2vec	200	sigmoid	100	nopca	0.809361	0.868380	0.871094	0.869735
word2vec	200	sigmoid	200	pca	0.751142	0.843089	0.810156	0.826295
word2vec	200	sigmoid	200	nopca	0.808790	0.883212	0.850781	0.866693
word2vec	200	sigmoid	300	pca	0.789384	0.830792	0.893750	0.861122
word2vec	200	sigmoid	300	nopca	0.797374	0.857143	0.867188	0.862136
word2vec	200	sigmoid	400	pca	0.807648	0.863531	0.875000	0.869228
word2vec	200	sigmoid	400	nopca	0.739726	0.869838	0.757031	0.809524
word2vec	200	sigmoid	500	pca	0.792237	0.838757	0.885938	0.861702
word2vec	200	sigmoid	500	nopca	0.825913	0.872992	0.891406	0.882103
word2vec	200	exponential	50	pca	0.789954	0.860759	0.850000	0.855346
word2vec	200	exponential	50	nopca	0.775685	0.819755	0.888281	0.852643
word2vec	200	exponential	100	pca	0.794521	0.870370	0.844531	0.857256
word2vec	200	exponential	100	nopca	0.820205	0.874903	0.879687	0.877289
word2vec	200	exponential	200	pca	0.767123	0.857964	0.816406	0.836669
word2vec	200	exponential	200	nopca	0.794521	0.882696	0.828906	0.854956
word2vec	200	exponential	300	pca	0.813356	0.869094	0.876563	0.872812
word2vec	200	exponential	300	nopca	0.809932	0.866203	0.875000	0.870579
word2vec	200	exponential	400	pca	0.756279	0.764414	0.963281	0.852402
word2vec	200	exponential	400	nopca	0.800799	0.872102	0.852344	0.862110
